Provincia,Partido,Localidad,Tecnologia,Link Indec,Accesos
BUENOS AIRES,25 de Mayo,25 de Mayo,ADSL,6854100,755.0
BUENOS AIRES,25 de Mayo,25 de Mayo,CABLEMODEM,6854100,4600.0
BUENOS AIRES,25 de Mayo,25 de Mayo,FIBRA OPTICA,6854100,2.0
BUENOS AIRES,25 de Mayo,25 de Mayo,SATELITAL,6854100,742.0
BUENOS AIRES,25 de Mayo,25 de Mayo,WIRELESS,6854100,727.0
BUENOS AIRES,25 de Mayo,Del Valle,ADSL,6854020,181.0
BUENOS AIRES,25 de Mayo,Del Valle,Otros,6854020,10.0
BUENOS AIRES,25 de Mayo,Del Valle,SATELITAL,6854020,1.0
BUENOS AIRES,25 de Mayo,Ernestina,ADSL,6854030,75.0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,WIRELESS,6854040,181.0
BUENOS AIRES,25 de Mayo,Lucas Monteverde,WIRELESS,6854050,6.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,CABLEMODEM,6854060,782.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,FIBRA OPTICA,6854060,496.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,Otros,6854060,16.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,WIRELESS,6854060,185.0
BUENOS AIRES,25 de Mayo,Pedernales,ADSL,6854070,154.0
BUENOS AIRES,25 de Mayo,Pedernales,FIBRA OPTICA,6854070,25.0
BUENOS AIRES,25 de Mayo,Pedernales,Otros,6854070,21.0
BUENOS AIRES,25 de Mayo,Pedernales,WIRELESS,6854070,7.0
BUENOS AIRES,9 de Julio,12 de Octubre,WIRELESS,6588030,19.0
BUENOS AIRES,9 de Julio,9 de Julio,ADSL,6588100,4241.0
BUENOS AIRES,9 de Julio,9 de Julio,CABLEMODEM,6588100,3463.0
BUENOS AIRES,9 de Julio,9 de Julio,DIAL UP,6588100,80.0
BUENOS AIRES,9 de Julio,9 de Julio,FIBRA OPTICA,6588100,6238.0
BUENOS AIRES,9 de Julio,9 de Julio,WIRELESS,6588100,831.0
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),ADSL,6588010,450.0
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),Otros,6588010,60.0
BUENOS AIRES,9 de Julio,Dudignac,WIRELESS,6588040,474.0
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),ADSL,6588060,193.0
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),FIBRA OPTICA,6588060,2.0
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),Otros,6588060,2.0
BUENOS AIRES,9 de Julio,Morea,WIRELESS,6588080,130.0
BUENOS AIRES,9 de Julio,Patricios,ADSL,6588110,81.0
BUENOS AIRES,9 de Julio,Patricios,WIRELESS,6588110,50.0
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),FIBRA OPTICA,6588120,118.0
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),WIRELESS,6588120,42.0
BUENOS AIRES,Adolfo Alsina,Carhué,ADSL,6007010,766.0
BUENOS AIRES,Adolfo Alsina,Carhué,DIAL UP,6007010,1.0
BUENOS AIRES,Adolfo Alsina,Carhué,FIBRA OPTICA,6007010,1417.0
